pair_id;participant_id;role;song_rank;artist;track_title;Track URI;Danceability;Energy;Valence;Tempo;Acousticness;Loudness;Instrumentalness;Speechiness;Liveness;Key;Mode;Time Signature
47KL;47KL_child;child;song_1;Radiohead;Jigsaw Falling Into Place;spotify:track:0YJ9FWWHn9EfnN0lHwbzvV;462.0;832.0;807.0;165.653;108.0;-6.085;0.00416;0.0479;0.0741;11.0;0.0;4.0
47KL;47KL_parent;parent;song_1;Queen;Save Me - Remastered 2011;;507.0;452.0;322.0;81.632;359.0;-6.8;0.0;0.0269;109.0;7.0;1.0;3.0
abc222;abc222_child;child;song_1;Lil Yachty, Diana Gordon;the BLACK seminole.;;286.0;0.55;109.0;136.285;0.0613;-5.794;0.27;0.0318;141.0;9.0;0.0;4.0
abc222;abc222_parent;parent;song_1;Michael Jackson;Rock With You;spotify:track:5yxIenY5kSLlgTr3XGYw9p;793.0;741.0;856.0;114.489;0.0794;-6.494;0.00029;0.0393;116.0;1.0;1.0;4.0
ADH677;ADH677_child;child;song_1;Zach Bryan;Heavy Eyes;spotify:track:2gJj6WtAxXjApMs3PXsCeX;471.0;912.0;613.0;139.667;32.0;-3.032;0.0;0.0724;343.0;5.0;1.0;4.0
ADH677;ADH677_parent;parent;song_1;Pyotr Ilyich Tchaikovsky, Claudio Abbado, Chicago Symphony Orchestra;"Symphony No. 6 in B Minor, Op. 74, TH 30 ""Pathétique"": I. Adagio - Allegro non troppo";;158.0;0.0831;0.0488;141.03;913.0;-23.274;651.0;0.0461;145.0;11.0;1.0;4.0
Adr312;Adr312_child;child;song_1;Ashtar Command;Mark IV with Joshua Radin (From Fifa13);;346.0;653.0;131.0;170.131;0.000789;-8.81;348.0;0.0328;256.0;7.0;1.0;4.0
Adr312;Adr312_parent;parent;song_1;George Michael, Queen;Somebody to Love;;333;863;384;110.162;0.0518;-6.918;0;0.0515;972.0;7.0;1.0;1.0
ams789;ams789_child;child;song_1;Slowdive;when the sun hits;spotify:track:0oxYB9GoOIDrdzniNdKC44;0.33;532.0;218.0;93.512;0.00101;-11.764;709.0;0.0263;101.0;2.0;1.0;4.0
ams789;ams789_parent;parent;song_1;Nois Désir;Des visages des figures;;669;702;793;105.232;713;-10.616;0.0408;0.0582;119.0;4.0;0.0;4.0
bojack123;bojack123_child;child;song_1;Kavinsky, The Weeknd;odd look;;627.0;897.0;257.0;104.947;246.0;-3.647;0.0;0.0504;117.0;10.0;0.0;4.0
bojack123;bojack123_parent;parent;song_1;Meat Loaf;Paradise by the dashboard light;spotify:track:2g7gviEeJr6pyxO7G35EWQ;326.0;872.0;492.0;173.381;214.0;-7.602;0.0;122.0;461.0;2.0;1.0;4.0
Bonte123;Bonte123_child;child;song_1;Led Zeppelin;Stairway to heaven - Remaster;;338.0;0.34;197.0;82.433;0.58;-12.049;0.0032;0.0339;116.0;9.0;0.0;4.0
Bonte123;Bonte123_parent;parent;song_1;David bowie;Changes - 2015 Remaster;;559.0;308.0;414.0;113.633;505.0;-11.75;0.0;0.0376;109.0;0.0;1.0;4.0
ds13;ds13_child;child;song_1;LNGSHOT;Moonwalkin';spotify:track:46V2ciN6F5bxjQWityNhkY;658.0;694.0;636.0;150.209;255.0;-5.635;0.0;0.0554;116.0;0.0;0.0;4.0
ds13;ds13_parent;parent;song_1;SOOBIN;Tháng Năm;spotify:track:0SmQ0UWeiHKQtxUej4Rem6;0.67;618.0;251.0;147.015;128.0;-5.467;0.0;0.0377;0.0534;9.0;0.0;4.0
ibiza90;ibiza90_child;child;song_1;Primer 55;Supa Freak Love;spotify:track:5w02nBF8o9RYWXba6026sd;506.0;922.0;266.0;186.378;6.44e-05;-4.66;0.00384;125.0;137.0;4.0;1.0;4.0
ibiza90;ibiza90_parent;parent;song_1;Tool;Sober;spotify:track:6DyywdbmTzlmXBzG9ym7Rt;385.0;673.0;187.0;149.271;0.000183;-8.182;149.0;0.0329;0.0721;2.0;1.0;4.0
khanh67;khanh67_child;child;song_1;Ariana Grande;Touch it;spotify:track:6WikCGNUbXFmXoLre7vjeW;536.0;694.0;291.0;100.906;0.0303;-4.369;0.0;0.0332;183.0;7.0;0.0;4.0
